chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Notebook,12,Win10,2,6,Low-End Graphics Cards,32,i3-2328M,Web User,10351643a4ae4b2d9cbc8a90db184050
Notebook,8,Win10,2,5,Low-End Graphics Cards,14,m-5Y71,Web User,4f40b2f38cd74f6ea1559cebbc924619
Desktop,8,Win10,8,0,Low-Midrange Graphics Cards,14,i7-9700K,Office/Productivity,04b81eb4d661410ebff356f27fc544ed
Desktop,32,Win10,4,6,Low-End Graphics Cards,22,i7-4770,Communication,68e03e23c3d34e738a042dfc998a08c2
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-3770,Web User,6534d2fa07d64c0eb3681bcfda3ed265
Notebook,8,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Web User,b4666e65577340378e4a4b1593217f3c
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i3-5005U,Casual User,2bf7ec8516884e58999b2abce1c9bdd2
Desktop,6,Win10,2,6,Low-Midrange Graphics Cards,32,i3-2120,Casual Gamer,b5de21d26339473093da5e0ebaf2a41c
Desktop,8,Win10,4,2,Office-Class Graphics Cards,14,i5-7400,Communication,c42f8ff4da6447bf86735a3a86fec223
Desktop,4,Win10,2,6,Office-Class Graphics Cards,45,E7500,Web User,aef4587e0e8f407c8b832741697238d5
Desktop,16,Win10,4,3,Low-End Graphics Cards,14,i5-6500,Office/Productivity,ac9580f0aff147a2b254c7bac652e20e
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400,Web User,e91db4d522644f2689191785a97803cf
Desktop,16,Win10,4,3,High-End Graphics Cards,14,i5-6600,Casual Gamer,db997bc27e56439b8e96777abeccccb4
Desktop,16,Win10,4,2,High-End Graphics Cards,14,i5-7500,Casual Gamer,cd6a3a88c9624e3ea4708ca05613ac68
Notebook,8,Win10,4,1,Mid-Range Graphics Cards,14,i5-8300H,Gamer,e12b8f23939e4d9097a1421f72018cb0
Desktop,16,Win10,2,1,Mid-Range Graphics Cards,14,G4560,Gamer,040d673f77644e4ab44b73c5e70b772a
Desktop,16,Win10,2,-1,High-End Graphics Cards,-1,Unknown,Gamer,fdcd72da17f64b3a817877753ec7034a
Notebook,8,Win10,4,0,,14,i5-8265U,Web User,0723b3f1f9404487a957203f7acbdb1a
2 in 1,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7600U,Communication,04d7e1ee082e47068bc9a7ff78e11d5d
Desktop,12,Win10,4,4,High-End Graphics Cards,22,i5-4590,Casual User,09218a6ee5954811a3a4d165eec8a0fa
2 in 1,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Communication,07a50de7f5ff47ce803e8c4b3cacde27
Notebook,16,Win10,4,6,Low-Midrange Graphics Cards,32,i7-2720QM,Casual User,084b20ac00eb4f938c23a3757e35aefc
2 in 1,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Win Store App User,07de490e1e62436bbb95100843861cfb
Desktop,16,Win10,8,0,Low-Midrange Graphics Cards,14,i7-9700,Casual Gamer,08d4ca61537849969b1c7651748080af
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Casual Gamer,0449ea665ba94cc9b0d1dfe35174a48f
Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Content Creator/IT,035bde58f9f74ae287acd51e2bfcd714
Notebook,64,Win10,8,0,Low-Midrange Graphics Cards,14,i9-9880H,Content Creator/IT,06c8b67a6c1a47d1abc7543e45898353
Desktop,8,Win10,4,2,Office-Class Graphics Cards,14,i5-7500,Office/Productivity,04e06c389d03471cacd17da198a1f0a4
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Gamer,0aad4defa66c47799bd5f97651c98377
Desktop,8,Win10,2,2,Mid-Range Graphics Cards,14,i3-7100,Gamer,0d4bab758a3d44449ba1c484cffa267b
Notebook,4,Win10,2,-1,,65,T5800,File & Network Sharer,18640a286d514c8280f67b632593ee8d
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Office/Productivity,0f29124b73e04e7d9d94b2f7648fb7e5
Notebook,8,Win10,2,5,Office-Class Graphics Cards,22,i5-4210U,Win Store App User,71e3277dbe18445da52d296c711bb7d5
Notebook,8,Win10,2,4,,14,i5-6267U,Win Store App User,4b7e5d2298c2429294b1ca2ce0b8f7ae
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Web User,539784841fe64318baac7c18c4de6056
Intel NUC/STK,8,Win10,4,0,,14,i5-8265U,Casual User,31e7de664fea44dab83411ad1a47b7e3
Desktop,16,Win10,8,1,High-End Graphics Cards,14,i9-9900K,Casual Gamer,8ece9eecf4bb45639f96467159d12040
Notebook,6,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Casual Gamer,9266866701ea452d9a5b2e6db611d403
2 in 1,16,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Communication,82f5634cf1cb4fabadd8f7803cc7db70
Notebook,12,Win10,2,2,Mid-Range Graphics Cards,14,i7-7500U,Casual Gamer,6fb4de6528784028a769541b723c6aee
Notebook,12,Win10,4,6,Mid-Range Graphics Cards,22,i7-3630QM,Web User,929713f296be4abbb296817658bd7f96
Notebook,8,Win10,2,6,Low-Midrange Graphics Cards,32,i5-480M,Win Store App User,3d0fe8d85b694ff99f6f15d734dd3fb7
Notebook,6,Win10,4,6,Low-End Graphics Cards,32,i7-2630QM,Gamer,5f0a57d5eb8d43c3a6ff6f79afa1e683
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700,File & Network Sharer,f8d97425a73d46828b430e3aef9faf6d
Notebook,4,Win10,2,3,Low-End Graphics Cards,14,m3-6Y30,Content Creator/IT,dd49560471804a7892c3539ec3a9bd1b
